CPF,Origem,Nome,Sexo,Telefone 1,Telefone 2,E-mail,Data de Nascimento,Data de Cadastro,Observações,Pode agendar online,Primeiro agendamento,Último agendamento,Status do primeiro agendamento,Status do último agendamento,Recebe e-mails agendamentos,Recebe e-mail sobre Programa de Fidelidade,CEP,Estado,Endereço,Número,Complemento,Bairro,Cidade,Como nos conheceu,Instagram
Null,Balcão,Cliente 27,Feminino,(71) 0000-0000,,,,12/5/2018,,Sim,12/5/2018,6/5/2023,Finalizado,Finalizado,Sim,Sim,,,,,,,,,
Null,Balcão,Cliente 28,Feminino,(71) 0000-0000,,,,5/4/2023,,Sim,5/4/2023,5/4/2023,Finalizado,Finalizado,Sim,Sim,,,,,,,,,
Null,Balcão,Cliente 29,Feminino,(71) 0000-0000,,,,5/4/2023,,Sim,6/4/2023,6/4/2023,Finalizado,Finalizado,Sim,Sim,,,,,,,,,
Null,Balcão,Cliente 30,Feminino,(71) 0000-0000,,,,16/01/2018,,Sim,21/06/2018,21/06/2018,Finalizado,Finalizado,Sim,Sim,,,,,,,,,
Null,Balcão,Cliente 31,Feminino,(71) 0000-0000,,,,2/2/2020,,Sim,6/1/2020,6/1/2020,Finalizado,Finalizado,Sim,Sim,,,,,,,,,
Null,Balcão,Cliente 32,Feminino,(71) 0000-0000,,,,5/10/2018,,Sim,4/10/2018,6/6/2019,Finalizado,Finalizado,Sim,Sim,,,,,,,,,
Null,Balcão,Cliente 33,Feminino,(71) 0000-0000,,,,23/05/2018,,Sim,23/05/2018,17/03/2020,Finalizado,Finalizado,Sim,Sim,,,,,,,,,
Null,Balcão,Cliente 34,Feminino,(71) 0000-0000,,,,16/01/2018,,Sim,15/06/2018,18/06/2019,Cancelado,Finalizado,Sim,Sim,,,,,,,,,
Null,Balcão,Cliente 35,Feminino,(71) 0000-0000,,,,2/11/2019,,Sim,12/10/2019,2/5/2023,Finalizado,Finalizado,Sim,Sim,,,,,,,,,
Null,Balcão,Cliente 36,Feminino,(71) 0000-0000,,,,13/06/2018,,Sim,13/06/2018,17/05/2019,Finalizado,Finalizado,Sim,Sim,,,,,,,,,
Null,Balcão,Cliente 37,Feminino,(71) 0000-0000,,,,2/6/2018,,Sim,2/6/2018,2/6/2018,Finalizado,Finalizado,Sim,Sim,,,,,,,,,
Null,Balcão,Cliente 38,Feminino,(71) 0000-0000,,,,16/01/2018,,Sim,,,,,Sim,Sim,,,,,,,,,
Null,Balcão,Cliente 39,Feminino,(71) 0000-0000,,,,26/01/2018,,Sim,26/01/2018,9/5/2023,Finalizado,Finalizado,Não,Sim,,,,,,,,,
Null,Balcão,Cliente 40,Feminino,(71) 0000-0000,,,,16/01/2018,,Sim,17/10/2018,22/05/2019,Finalizado,Finalizado,Sim,Sim,,,,,,,,,
Null,Balcão,Cliente 41,Feminino,(71) 0000-0000,,,,16/01/2018,,Sim,4/9/2019,4/9/2019,Finalizado,Finalizado,Sim,Sim,,,,,,,,,
Null,Balcão,Cliente 42,Feminino,(71) 0000-0000,,,,16/01/2018,,Sim,,,,,Sim,Sim,,,,,,,,,
Null,Balcão,Cliente 43,Feminino,(71) 0000-0000,,,,1/6/2018,,Sim,1/6/2018,2/3/2019,Finalizado,Finalizado,Sim,Sim,,,,,,,,,
Null,Balcão,Cliente 44,Feminino,(71) 0000-0000,,,,18/06/2018,,Sim,20/06/2018,27/04/2019,Finalizado,Finalizado,Sim,Sim,,,,,,,,,
Null,Balcão,Cliente 45,Feminino,(71) 0000-0000,,,,16/01/2018,,Sim,20/02/2019,5/2/2020,Finalizado,Finalizado,Sim,Sim,,,,,,,,,
Null,Balcão,Cliente 46,Feminino,(71) 0000-0000,,,,16/01/2018,,Sim,,,,,Sim,Sim,,,,,,,,,
Null,Balcão,Cliente 47,Feminino,(71) 0000-0000,,,,16/01/2018,,Sim,,,,,Sim,Sim,,,,,,,,,
Null,Balcão,Cliente 48,Feminino,(71) 0000-0000,,,,16/06/2018,,Sim,16/06/2018,16/06/2018,Confirmado,Confirmado,Sim,Sim,,,,,,,,,
Null,Balcão,Cliente 49,Feminino,(71) 0000-0000,,,,13/04/2018,,Sim,13/04/2018,10/5/2018,Cancelado,Finalizado,Sim,Sim,,,,,,,,,
Null,Balcão,Cliente 50,Feminino,(71) 0000-0000,,,,26/01/2019,,Sim,22/01/2019,30/01/2019,Finalizado,Finalizado,Sim,Sim,,,,,,,,,
Null,Balcão,Cliente 51,Feminino,(71) 0000-0000,,,,16/01/2018,,Sim,,,,,Sim,Sim,,,,,,,,,
Null,Balcão,Cliente 52,Feminino,(71) 0000-0000,,,,16/01/2018,,Sim,28/09/2018,21/03/2019,Finalizado,Finalizado,Sim,Sim,,,,,,,,,
Null,Balcão,Cliente 53,Feminino,(71) 0000-0000,,,,24/10/2018,,Sim,24/10/2018,5/1/2019,Finalizado,Finalizado,Sim,Sim,,,,,,,,,
Null,Balcão,Cliente 54,Feminino,(71) 0000-0000,,,,16/01/2018,,Sim,,,,,Sim,Sim,,,,,,,,,
Null,Balcão,Cliente 55,Feminino,(71) 0000-0000,,,,12/1/2019,,Sim,4/1/2019,21/06/2019,Finalizado,Finalizado,Sim,Sim,,,,,,,,,
Null,Balcão,Cliente 56,Feminino,(71) 0000-0000,,,,16/01/2018,,Sim,,,,,Sim,Sim,,,,,,,,,
Null,Balcão,Cliente 57,Feminino,(71) 0000-0000,,,,11/11/2018,,Sim,3/11/2018,7/12/2018,Finalizado,Finalizado,Sim,Sim,,,,,,,,,
Null,Balcão,Cliente 58,Feminino,(71) 0000-0000,,,,14/03/2018,,Sim,14/03/2018,14/03/2018,Finalizado,Finalizado,Sim,Sim,,,,,,,,,
Null,Balcão,Cliente 59,Feminino,(71) 0000-0000,,,,16/01/2018,,Sim,26/01/2019,26/01/2019,Finalizado,Finalizado,Sim,Sim,,,,,,,,,
Null,Balcão,Cliente 60,Feminino,(71) 0000-0000,,,,13/04/2018,,Sim,13/04/2018,15/04/2023,Finalizado,Finalizado,Sim,Sim,,,,,,,,,
Null,Balcão,Cliente 61,Feminino,(71) 0000-0000,,,,25/05/2018,,Sim,25/05/2018,16/08/2018,Finalizado,Finalizado,Sim,Sim,,,,,,,,,
Null,Balcão,Cliente 62,Feminino,(71) 0000-0000,,,,24/01/2018,,Sim,24/01/2018,2/8/2019,Finalizado,Finalizado,Não,Sim,,,,,,,,,
Null,Balcão,Cliente 63,Feminino,(71) 0000-0000,,,,1/2/2018,,Sim,1/2/2018,1/2/2018,Finalizado,Finalizado,Não,Sim,,,,,,,,,
Null,Balcão,Cliente 64,Feminino,(71) 0000-0000,,,,12/7/2018,,Sim,12/7/2018,12/9/2018,Finalizado,Finalizado,Sim,Sim,,,,,,,,,
Null,Balcão,Cliente 65,Feminino,(71) 0000-0000,,,,11/5/2018,,Sim,12/5/2018,14/03/2019,Cancelado,Finalizado,Sim,Sim,,,,,,,,,
Null,Balcão,Cliente 66,Feminino,(71) 0000-0000,,,,20/01/2019,,Sim,16/01/2019,13/03/2020,Finalizado,Finalizado,Sim,Sim,,,,,,,,,
Null,Balcão,Cliente 67,Feminino,(71) 0000-0000,,,,16/01/2018,,Sim,,,,,Sim,Sim,,,,,,,,,
Null,Balcão,Cliente 68,Feminino,(71) 0000-0000,,,,1/1/2019,,Sim,31/12/2018,31/12/2018,Finalizado,Finalizado,Sim,Sim,,,,,,,,,
Null,Balcão,Cliente 69,Feminino,(71) 0000-0000,,,,16/01/2018,,Sim,,,,,Sim,Sim,,,,,,,,,
Null,Balcão,Cliente 70,Feminino,(71) 0000-0000,,,,23/10/2018,,Sim,23/10/2018,30/10/2018,Finalizado,Finalizado,Sim,Sim,,,,,,,,,
Null,Balcão,Cliente 71,Feminino,(71) 0000-0000,,,,15/08/2018,,Sim,15/08/2018,11/3/2020,Finalizado,Finalizado,Sim,Sim,,,,,,,,,
Null,Balcão,Cliente 72,Feminino,(71) 0000-0000,,,,16/01/2018,,Sim,,,,,Sim,Sim,,,,,,,,,
Null,Balcão,Cliente 73,Feminino,(71) 0000-0000,,,,15/10/2018,,Sim,13/10/2018,13/10/2018,Finalizado,Finalizado,Sim,Sim,,,,,,,,,
Null,Balcão,Cliente 74,Feminino,(71) 0000-0000,,,,24/05/2018,,Sim,24/05/2018,20/08/2019,Finalizado,Finalizado,Sim,Sim,,,,,,,,,
Null,Balcão,Cliente 75,Feminino,(71) 0000-0000,,,,16/01/2018,,Sim,,,,,Sim,Sim,,,,,,,,,
Null,Balcão,Cliente 76,Feminino,(71) 0000-0000,,,,16/01/2018,,Sim,,,,,Sim,Sim,,,,,,,,,
Null,Balcão,Cliente 77,Feminino,(71) 0000-0000,,,,5/9/2018,,Sim,5/9/2018,5/9/2018,Finalizado,Finalizado,Sim,Sim,,,,,,,,,
Null,Balcão,Cliente 78,Feminino,(71) 0000-0000,,,,30/09/2018,,Sim,27/09/2018,3/10/2019,Finalizado,Finalizado,Sim,Sim,,,,,,,,,
Null,Balcão,Cliente 79,Feminino,(71) 0000-0000,,,,8/9/2018,,Sim,8/9/2018,8/9/2018,Finalizado,Finalizado,Não,Sim,,,,,,,,,
Null,Balcão,Cliente 80,Feminino,(71) 0000-0000,,,,16/01/2018,,Sim,8/6/2018,27/11/2019,Finalizado,Finalizado,Sim,Sim,,,,,,,,,
Null,Balcão,Cliente 81,Feminino,(71) 0000-0000,,,,16/01/2018,,Sim,,,,,Sim,Sim,,,,,,,,,
Null,Balcão,Cliente 82,Feminino,(71) 0000-0000,,,,16/12/2018,,Sim,5/12/2018,5/12/2018,Finalizado,Finalizado,Sim,Sim,,,,,,,,,
Null,Balcão,Cliente 83,Feminino,(71) 0000-0000,,,,16/01/2018,,Sim,26/09/2018,26/09/2018,Finalizado,Finalizado,Sim,Sim,,,,,,,,,
Null,Balcão,Cliente 84,Feminino,(71) 0000-0000,,,,21/04/2018,,Sim,21/04/2018,19/01/2019,Finalizado,Finalizado,Sim,Sim,,,,,,,,,
Null,Balcão,Cliente 85,Feminino,(71) 0000-0000,,,,5/4/2023,,Sim,5/4/2023,5/5/2023,Finalizado,Finalizado,Sim,Sim,,,,,,,,,
Null,Balcão,Cliente 86,Feminino,(71) 0000-0000,,,,20/07/2018,,Sim,20/07/2018,31/12/2019,Finalizado,Finalizado,Sim,Sim,,,,,,,,,
Null,Balcão,Cliente 87,Feminino,(71) 0000-0000,,,,5/4/2023,,Sim,5/4/2023,5/4/2023,Finalizado,Finalizado,Sim,Sim,,,,,,,,,
Null,Balcão,Cliente 88,Feminino,(71) 0000-0000,,,,16/01/2018,,Sim,,,,,Sim,Sim,,,,,,,,,
Null,Balcão,Cliente 89,Feminino,(71) 0000-0000,,,,30/06/2018,,Sim,30/06/2018,12/11/2019,Finalizado,Finalizado,Não,Sim,,,,,,,,,
Null,Balcão,Cliente 90,Feminino,(71) 0000-0000,,,,16/01/2018,,Sim,,,,,Sim,Sim,,,,,,,,,
Null,Balcão,Cliente 91,Feminino,(71) 0000-0000,,,,11/9/2018,,Sim,11/9/2018,11/9/2018,Finalizado,Finalizado,Não,Sim,,,,,,,,,
Null,Balcão,Cliente 92,Feminino,(71) 0000-0000,,,,24/09/2019,,Sim,2/9/2019,7/11/2019,Finalizado,Finalizado,Sim,Sim,,,,,,,,,
Null,Balcão,Cliente 93,Feminino,(71) 0000-0000,,,,2/3/2020,,Sim,15/02/2020,15/02/2020,Finalizado,Finalizado,Sim,Sim,,,,,,,,,
Null,Balcão,Cliente 94,Feminino,(71) 0000-0000,,,,2/3/2020,,Sim,10/2/2020,6/3/2020,Finalizado,Finalizado,Sim,Sim,,,,,,,,,
Null,Balcão,Cliente 95,Feminino,(71) 0000-0000,,,,15/10/2018,,Sim,13/10/2018,13/10/2018,Finalizado,Finalizado,Sim,Sim,,,,,,,,,
Null,Balcão,Cliente 96,Feminino,(71) 0000-0000,,,,10/3/2018,,Sim,10/3/2018,10/3/2018,Finalizado,Finalizado,Sim,Sim,,,,,,,,,
Null,Balcão,Cliente 97,Feminino,(71) 0000-0000,,,,17/05/2023,,Sim,17/05/2023,17/05/2023,Finalizado,Finalizado,Sim,Sim,,,,,,,,,
Null,Balcão,Cliente 98,Feminino,(71) 0000-0000,,,,14/04/2018,,Sim,14/04/2018,2/6/2018,Finalizado,Finalizado,Sim,Sim,,,,,,,,,
Null,Balcão,Cliente 99,Feminino,(71) 0000-0000,,,,24/08/2018,,Sim,25/08/2018,25/08/2018,Finalizado,Finalizado,Sim,Sim,,,,,,,,,
Null,Balcão,Cliente 100,Feminino,(71) 0000-0000,,,,11/4/2023,,Sim,1/4/2023,1/4/2023,Finalizado,Finalizado,Sim,Sim,,,,,,,,,
Null,Balcão,Cliente 101,Feminino,(71) 0000-0000,,,,16/01/2018,,Sim,19/01/2018,20/12/2019,Finalizado,Finalizado,Sim,Sim,,,,,,,,,
Null,Balcão,Cliente 102,Feminino,(71) 0000-0000,,,,18/04/2018,,Sim,19/05/2018,16/02/2019,Cancelado,Finalizado,Sim,Sim,,,,,,,,,
Null,Balcão,Cliente 103,Feminino,(71) 0000-0000,,,,6/4/2018,,Sim,6/4/2018,5/7/2018,Finalizado,Finalizado,Não,Sim,,,,,,,,,
Null,Balcão,Cliente 104,Feminino,(71) 0000-0000,,,,16/01/2018,,Sim,13/05/2019,13/05/2019,Finalizado,Finalizado,Sim,Sim,,,,,,,,,
Null,Balcão,Cliente 105,Feminino,(71) 0000-0000,,,,16/01/2018,,Sim,26/10/2019,26/10/2019,Finalizado,Finalizado,Sim,Sim,,,,,,,,,
Null,Balcão,Cliente 106,Feminino,(71) 0000-0000,,,,16/01/2018,,Sim,,,,,Sim,Sim,,,,,,,,,
Null,Balcão,Cliente 107,Feminino,(71) 0000-0000,,,,16/01/2018,,Sim,,,,,Sim,Sim,,,,,,,,,
Null,Balcão,Cliente 108,Feminino,(71) 0000-0000,,,,8/2/2018,,Sim,8/2/2018,10/12/2019,Finalizado,Finalizado,Não,Sim,,,,,,,,,
Null,Balcão,Cliente 109,Feminino,(71) 0000-0000,,,,2/4/2020,,Sim,6/3/2020,6/3/2020,Finalizado,Finalizado,Sim,Sim,,,,,,,,,
Null,Balcão,Cliente 110,Feminino,(71) 0000-0000,,,,11/4/2023,,Sim,11/4/2023,11/4/2023,Finalizado,Finalizado,Sim,Sim,,,,,,,,,
Null,Balcão,Cliente 111,Feminino,(71) 0000-0000,,,,31/12/2018,,Sim,27/12/2018,18/12/2019,Finalizado,Finalizado,Sim,Sim,,,,,,,,,
Null,Balcão,Cliente 112,Feminino,(71) 0000-0000,,,,31/08/2018,,Sim,31/08/2018,7/12/2019,Finalizado,Finalizado,Não,Sim,,,,,,,,,
Null,Balcão,Cliente 113,Feminino,(71) 0000-0000,,,,10/3/2018,,Sim,10/3/2018,17/03/2018,Finalizado,Cliente não compareceu,Sim,Sim,,,,,,,,,
Null,Balcão,Cliente 114,Feminino,(71) 0000-0000,,,,10/7/2018,,Sim,10/7/2018,12/9/2018,Finalizado,Finalizado,Sim,Sim,,,,,,,,,
Null,Balcão,Cliente 115,Feminino,(71) 0000-0000,,,,20/01/2018,,Sim,18/01/2018,20/04/2023,Finalizado,Cancelado,Não,Sim,,,,,,,,,
Null,Balcão,Cliente 116,Feminino,(71) 0000-0000,,,,17/11/2021,,Sim,4/12/2021,12/5/2023,Confirmado,Finalizado,Sim,Sim,,,,,,,,,
Null,Balcão,Cliente 117,Feminino,(71) 0000-0000,,,,15/10/2018,,Sim,10/10/2018,10/10/2018,Finalizado,Finalizado,Sim,Sim,,,,,,,,,
Null,Balcão,Cliente 118,Feminino,(71) 0000-0000,,,,26/10/2018,,Sim,25/10/2018,25/10/2018,Finalizado,Finalizado,Sim,Sim,,,,,,,,,
Null,Balcão,Cliente 119,Feminino,(71) 0000-0000,,,,8/4/2023,,Sim,8/4/2023,8/4/2023,Finalizado,Finalizado,Sim,Sim,,,,,,,,,
Null,Balcão,Cliente 120,Feminino,(71) 0000-0000,,,,19/10/2019,,Sim,1/10/2019,14/12/2019,Finalizado,Finalizado,Sim,Sim,,,,,,,,,
Null,Balcão,Cliente 121,Feminino,(71) 0000-0000,,,,15/10/2018,,Sim,13/10/2018,26/02/2020,Finalizado,Finalizado,Sim,Sim,,,,,,,,,
Null,Balcão,Cliente 122,Feminino,(71) 0000-0000,,,,20/07/2018,,Sim,20/07/2018,12/3/2020,Finalizado,Finalizado,Sim,Sim,,,,,,,,,
Null,Balcão,Cliente 123,Feminino,(71) 0000-0000,,,,9/3/2018,,Sim,9/3/2018,10/2/2020,Finalizado,Finalizado,Sim,Sim,,,,,,,,,
Null,Balcão,Cliente 124,Feminino,(71) 0000-0000,,,,26/11/2018,,Sim,22/11/2018,8/6/2019,Finalizado,Finalizado,Sim,Sim,,,,,,,,,
Null,Balcão,Cliente 125,Feminino,(71) 0000-0000,,,,15/05/2018,,Sim,15/05/2018,7/2/2019,Finalizado,Finalizado,Sim,Sim,,,,,,,,,
Null,Balcão,Cliente 126,Feminino,(71) 0000-0000,,,,7/7/2018,,Sim,7/7/2018,15/02/2020,Finalizado,Finalizado,Não,Sim,,,,,,,,,
Null,Balcão,Cliente 127,Feminino,(71) 0000-0000,,,,22/10/2018,,Sim,18/10/2018,18/10/2018,Finalizado,Finalizado,Sim,Sim,,,,,,,,,
Null,Balcão,Cliente 128,Feminino,(71) 0000-0000,,,,30/08/2018,,Sim,29/08/2018,29/08/2018,Finalizado,Finalizado,Sim,Sim,,,,,,,,,
Null,Balcão,Cliente 129,Feminino,(71) 0000-0000,,,,7/9/2018,,Sim,6/9/2018,6/9/2018,Finalizado,Finalizado,Não,Sim,,,,,,,,,
Null,Balcão,Cliente 130,Feminino,(71) 0000-0000,,,,30/01/2018,,Sim,30/01/2018,18/10/2019,Finalizado,Finalizado,Não,Sim,,,,,,,,,
Null,Balcão,Cliente 131,Feminino,(71) 0000-0000,,,,30/01/2018,,Sim,30/01/2018,9/10/2018,Finalizado,Finalizado,Não,Sim,,,,,,,,,
Null,Balcão,Cliente 132,Feminino,(71) 0000-0000,,,,24/03/2018,,Sim,24/03/2018,3/3/2020,Finalizado,Finalizado,Não,Sim,,,,,,,,,
Null,Balcão,Cliente 133,Feminino,(71) 0000-0000,,,,11/11/2018,,Sim,3/11/2018,3/11/2018,Finalizado,Finalizado,Sim,Sim,,,,,,,,,
Null,Balcão,Cliente 134,Feminino,(71) 0000-0000,,,,3/3/2018,,Sim,3/3/2018,16/03/2018,Finalizado,Finalizado,Sim,Sim,,,,,,,,,
Null,Balcão,Cliente 135,Feminino,(71) 0000-0000,,,,23/04/2019,,Sim,18/04/2019,18/04/2019,Finalizado,Finalizado,Sim,Sim,,,,,,,,,
Null,Balcão,Cliente 136,Feminino,(71) 0000-0000,,,,16/06/2018,,Sim,16/06/2018,16/06/2018,Finalizado,Finalizado,Sim,Sim,,,,,,,,,
Null,Balcão,Cliente 137,Feminino,(71) 0000-0000,,,,1/12/2018,,Sim,1/12/2018,17/01/2020,Finalizado,Finalizado,Sim,Sim,,,,,,,,,
Null,Balcão,Cliente 138,Feminino,(71) 0000-0000,,,,6/6/2018,,Sim,,,,,Sim,Sim,,,,,,,,,
Null,Balcão,Cliente 139,Feminino,(71) 0000-0000,,,,13/07/2018,,Sim,13/07/2018,14/10/2019,Finalizado,Finalizado,Sim,Sim,,,,,,,,,
Null,Balcão,Cliente 140,Feminino,(71) 0000-0000,,,,14/05/2019,,Sim,4/5/2019,26/10/2019,Finalizado,Finalizado,Sim,Sim,,,,,,,,,
Null,Balcão,Cliente 141,Feminino,(71) 0000-0000,,,,7/5/2023,,Sim,6/5/2023,6/5/2023,Finalizado,Finalizado,Sim,Sim,,,,,,,,,
Null,Balcão,Cliente 142,Feminino,(71) 0000-0000,,,,7/2/2018,,Sim,7/2/2018,7/2/2018,Finalizado,Finalizado,Não,Sim,,,,,,,,,
Null,Balcão,Cliente 143,Feminino,(71) 0000-0000,,,,30/06/2019,,Sim,10/6/2019,10/6/2019,Finalizado,Finalizado,Sim,Sim,,,,,,,,,
Null,Balcão,Cliente 144,Feminino,(71) 0000-0000,,,,27/09/2019,,Sim,23/09/2019,5/11/2019,Finalizado,Finalizado,Sim,Sim,,,,,,,,,
Null,Balcão,Cliente 145,Feminino,(71) 0000-0000,,,,4/4/2018,,Sim,4/4/2018,13/01/2020,Finalizado,Finalizado,Sim,Sim,,,,,,,,,
Null,Balcão,Cliente 146,Feminino,(71) 0000-0000,,,,5/5/2023,,Sim,6/5/2023,17/05/2023,Finalizado,Finalizado,Sim,Sim,,,,,,,,,
Null,Balcão,Cliente 147,Feminino,(71) 0000-0000,,,,7/8/2018,,Sim,7/8/2018,7/8/2018,Finalizado,Finalizado,Sim,Sim,,,,,,,,,
Null,Balcão,Cliente 148,Feminino,(71) 0000-0000,,,,6/2/2018,,Sim,6/2/2018,28/02/2018,Finalizado,Finalizado,Não,Sim,,,,,,,,,
Null,Balcão,Cliente 149,Feminino,(71) 0000-0000,,,,26/01/2019,,Sim,25/01/2019,25/01/2019,Finalizado,Finalizado,Sim,Sim,,,,,,,,,
Null,Balcão,Cliente 150,Feminino,(71) 0000-0000,,,,25/05/2018,,Sim,25/05/2018,31/01/2019,Finalizado,Finalizado,Sim,Sim,,,,,,,,,
Null,Balcão,Cliente 151,Feminino,(71) 0000-0000,,,,28/08/2018,,Sim,28/08/2018,31/12/2018,Finalizado,Finalizado,Sim,Sim,,,,,,,,,
Null,Balcão,Cliente 152,Feminino,(71) 0000-0000,,,,5/4/2023,,Sim,8/4/2023,22/04/2023,Finalizado,Finalizado,Sim,Sim,,,,,,,,,
Null,Balcão,Cliente 153,Feminino,(71) 0000-0000,,,,15/05/2019,,Sim,10/5/2019,25/04/2023,Finalizado,Finalizado,Sim,Sim,,,,,,,,,
Null,Balcão,Cliente 154,Feminino,(71) 0000-0000,,,,1/12/2018,,Sim,27/11/2018,27/11/2018,Finalizado,Finalizado,Sim,Sim,,,,,,,,,
Null,Balcão,Cliente 155,Feminino,(71) 0000-0000,,,,19/04/2023,,Sim,22/04/2023,22/04/2023,Finalizado,Finalizado,Sim,Sim,,,,,,,,,
Null,Balcão,Cliente 156,Feminino,(71) 0000-0000,,,,17/01/2018,,Sim,12/1/2018,6/7/2019,Finalizado,Finalizado,Sim,Sim,,,,,,,,,
Null,Balcão,Cliente 157,Feminino,(71) 0000-0000,,,,9/6/2018,,Sim,9/6/2018,14/06/2019,Finalizado,Finalizado,Não,Sim,,,,,,,,,
Null,Balcão,Cliente 158,Feminino,(71) 0000-0000,,,,1/2/2018,,Sim,2/2/2018,1/3/2018,Finalizado,Finalizado,Não,Sim,,,,,,,,,
Null,Balcão,Cliente 159,Feminino,(71) 0000-0000,,,,26/04/2018,,Sim,26/04/2018,26/04/2018,Cancelado,Cancelado,Sim,Sim,,,,,,,,,
Null,Balcão,Cliente 160,Feminino,(71) 0000-0000,,,,12/5/2023,,Sim,12/5/2023,26/05/2023,Finalizado,Confirmado,Sim,Sim,,,,,,,,,
